Variable	p_Enrich	p_Deplete	Inversion	p.Adj
Stem	0.4636	0.5364	Ann_13_02	0.883606557377049
Stamen	0.4324	0.5676	Ann_13_02	0.883606557377049
Ligule	0.4041	0.5959	Ann_13_02	0.883606557377049
Pollen	0.7444	0.2556	Ann_13_02	0.883606557377049
Corolla	0.3354	0.6646	Ann_13_02	0.883606557377049
Bract	0.5027	0.4973	Ann_13_02	0.883606557377049
Ovary	0.6832	0.3168	Ann_13_01	0.883606557377049
Root	0.6251	0.3749	Ann_13_01	0.883606557377049
Leaf	0.6992	0.3008	Ann_13_01	0.883606557377049
Style	0.6517	0.3483	Ann_13_01	0.883606557377049
Stem	0.6822	0.3178	Ann_13_01	0.883606557377049
Stamen	0.6527	0.3473	Ann_13_01	0.883606557377049
Ligule	0.7257	0.2743	Ann_13_01	0.883606557377049
Pollen	0.7406	0.2594	Ann_13_01	0.883606557377049
Corolla	0.6496	0.3504	Ann_13_01	0.883606557377049
Bract	0.656	0.344	Ann_13_01	0.883606557377049
Ovary	0.6772	0.3228	Ann_11_01	0.883606557377049
Root	0.5768	0.4232	Ann_11_01	0.883606557377049
Leaf	0.64	0.36	Ann_11_01	0.883606557377049
Style	0.7843	0.2157	Ann_11_01	0.883606557377049
Stem	0.6919	0.3081	Ann_11_01	0.883606557377049
Stamen	0.7654	0.2346	Ann_11_01	0.883606557377049
Ligule	0.6802	0.3198	Ann_11_01	0.883606557377049
Pollen	0.7329	0.2671	Ann_11_01	0.883606557377049
Corolla	0.718	0.282	Ann_11_01	0.883606557377049
Bract	0.6643	0.3357	Ann_11_01	0.883606557377049
Ovary	0.6694	0.3306	Ann_05_01	0.883606557377049
Root	0.705	0.295	Ann_05_01	0.883606557377049
Leaf	0.5884	0.4116	Ann_05_01	0.883606557377049
Style	0.6289	0.3711	Ann_05_01	0.883606557377049
Stem	0.589	0.411	Ann_05_01	0.883606557377049
Stamen	0.7636	0.2364	Ann_05_01	0.883606557377049
Ligule	0.6226	0.3774	Ann_05_01	0.883606557377049
Pollen	0.8557	0.1443	Ann_05_01	0.911063829787234
Corolla	0.7607	0.2393	Ann_05_01	0.883606557377049
Bract	0.5433	0.4567	Ann_05_01	0.883606557377049
Ovary	0.4938	0.5062	Ann_01_01	0.883606557377049
Root	0.5654	0.4346	Ann_01_01	0.883606557377049
Leaf	0.6052	0.3948	Ann_01_01	0.883606557377049
Style	0.6224	0.3776	Ann_01_01	0.883606557377049
Stem	0.436	0.564	Ann_01_01	0.883606557377049
Stamen	0.3806	0.6194	Ann_01_01	0.883606557377049
Ligule	0.5294	0.4706	Ann_01_01	0.883606557377049
Pollen	0.6743	0.3257	Ann_01_01	0.883606557377049
Corolla	0.5832	0.4168	Ann_01_01	0.883606557377049
Bract	0.5881	0.4119	Ann_01_01	0.883606557377049
